Description	
Number of Runs	75
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	280
Step Voltage	5
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	280	0	1	12/07/21 10:07:38 AM	
2	285	0	1	12/07/21 10:07:39 AM	
3	290	0	1	12/07/21 10:07:40 AM	
4	295	0	1	12/07/21 10:07:42 AM	
5	300	0	1	12/07/21 10:07:43 AM	
6	305	0	1	12/07/21 10:07:44 AM	
7	310	0	1	12/07/21 10:07:45 AM	
8	315	0	1	12/07/21 10:07:46 AM	
9	320	0	1	12/07/21 10:07:47 AM	
10	325	0	1	12/07/21 10:07:48 AM	
11	330	0	1	12/07/21 10:07:49 AM	
12	335	0	1	12/07/21 10:07:51 AM	
13	340	3	1	12/07/21 10:07:52 AM	
14	345	3	1	12/07/21 10:07:53 AM	
15	350	30	1	12/07/21 10:07:54 AM	
16	355	47	1	12/07/21 10:07:55 AM	
17	360	209	1	12/07/21 10:07:56 AM	
18	365	215	1	12/07/21 10:07:57 AM	
19	370	347	1	12/07/21 10:07:58 AM	
20	375	497	1	12/07/21 10:08:00 AM	
21	380	712	1	12/07/21 10:08:01 AM	
22	385	853	1	12/07/21 10:08:02 AM	
23	390	965	1	12/07/21 10:08:03 AM	
24	395	1171	1	12/07/21 10:08:04 AM	
25	400	1466	1	12/07/21 10:08:05 AM	
26	405	1448	1	12/07/21 10:08:06 AM	
27	410	1636	1	12/07/21 10:08:07 AM	
28	415	1683	1	12/07/21 10:08:08 AM	
29	420	1850	1	12/07/21 10:08:10 AM	
30	425	1922	1	12/07/21 10:08:11 AM	
31	430	2027	1	12/07/21 10:08:12 AM	
32	435	2104	1	12/07/21 10:08:13 AM	
33	440	2273	1	12/07/21 10:08:14 AM	
34	445	2334	1	12/07/21 10:08:15 AM	
35	450	2363	1	12/07/21 10:08:16 AM	
36	455	2440	1	12/07/21 10:08:17 AM	
37	460	2538	1	12/07/21 10:08:18 AM	
38	465	2480	1	12/07/21 10:08:19 AM	
39	470	2588	1	12/07/21 10:08:21 AM	
40	475	2615	1	12/07/21 10:08:22 AM	
41	480	2658	1	12/07/21 10:08:23 AM	
42	485	2610	1	12/07/21 10:08:24 AM	
43	490	2619	1	12/07/21 10:08:25 AM	
44	495	2655	1	12/07/21 10:08:26 AM	
45	500	2655	1	12/07/21 10:08:27 AM	
46	505	2652	1	12/07/21 10:08:28 AM	
47	510	2645	1	12/07/21 10:08:29 AM	
48	515	2658	1	12/07/21 10:08:31 AM	
49	520	2700	1	12/07/21 10:08:32 AM	
50	525	2687	1	12/07/21 10:08:33 AM	
51	530	2702	1	12/07/21 10:08:34 AM	
52	535	2672	1	12/07/21 10:08:35 AM	
53	540	2710	1	12/07/21 10:08:36 AM	
54	545	2710	1	12/07/21 10:08:37 AM	
55	550	2667	1	12/07/21 10:08:38 AM	
56	555	2649	1	12/07/21 10:08:39 AM	
57	560	2699	1	12/07/21 10:08:41 AM	
58	565	2692	1	12/07/21 10:08:42 AM	
59	570	2683	1	12/07/21 10:08:43 AM	
60	575	2724	1	12/07/21 10:08:44 AM	
61	580	2663	1	12/07/21 10:08:45 AM	
62	585	2699	1	12/07/21 10:08:46 AM	
63	590	2714	1	12/07/21 10:08:47 AM	
64	595	2619	1	12/07/21 10:08:49 AM	
65	600	2672	1	12/07/21 10:08:50 AM	
66	605	2712	1	12/07/21 10:08:51 AM	
67	610	2614	1	12/07/21 10:08:52 AM	
68	615	2653	1	12/07/21 10:08:53 AM	
69	620	2620	1	12/07/21 10:08:54 AM	
70	625	2654	1	12/07/21 10:08:56 AM	
71	630	2677	1	12/07/21 10:08:57 AM	
72	635	2656	1	12/07/21 10:08:58 AM	
73	640	2585	1	12/07/21 10:08:59 AM	
74	645	2672	1	12/07/21 10:09:00 AM	
75	650	2600	1	12/07/21 10:09:01 AM	
76	280	0	1	12/07/21 10:12:20 AM	
77	285	0	1	12/07/21 10:12:21 AM	
78	290	0	1	12/07/21 10:12:22 AM	
79	295	0	1	12/07/21 10:12:23 AM	
80	300	0	1	12/07/21 10:12:24 AM	
81	305	0	1	12/07/21 10:12:25 AM	
82	310	0	1	12/07/21 10:12:26 AM	
83	315	0	1	12/07/21 10:12:27 AM	
84	280	0	1	12/07/21 10:13:00 AM	
85	285	0	1	12/07/21 10:13:01 AM	
86	290	0	1	12/07/21 10:13:02 AM	
